permit_id,sensor_reading_id,permit_type,status,zone_id,unit_id,issued_at,expires_at
PERMIT-000067,67,general,expired,unit-2-zone-3,unit-2,2026-06-09T07:44:01.373134,2026-06-09T10:04:22.224746
PERMIT-000068,68,electrical,active,unit-2-zone-1,unit-2,2026-06-09T10:00:21.651551,2026-06-09T14:33:02.789902
PERMIT-000069,69,electrical,active,unit-2-zone-2,unit-2,2026-06-09T09:36:24.300315,2026-06-09T16:17:02.460130
PERMIT-000070,70,general,active,unit-1-zone-2,unit-1,2026-06-09T10:27:24.093622,2026-06-09T16:36:13.074304
PERMIT-000071,71,hot_work,active,unit-1-zone-2,unit-1,2026-06-09T10:33:26.469984,2026-06-09T14:48:13.489712
PERMIT-000072,72,hot_work,active,unit-1-zone-3,unit-1,2026-06-09T08:29:52.569204,2026-06-09T12:01:49.770078
PERMIT-000073,73,electrical,active,unit-2-zone-3,unit-2,2026-06-09T08:00:02.335579,2026-06-09T12:03:39.096666
PERMIT-000074,74,electrical,active,unit-4-zone-3,unit-4,2026-06-09T06:42:03.434467,2026-06-09T11:11:40.445073
PERMIT-000075,75,electrical,active,unit-4-zone-2,unit-4,2026-06-09T09:09:07.860502,2026-06-09T15:57:01.617843
PERMIT-000076,76,hot_work,active,unit-5-zone-3,unit-5,2026-06-21T02:08:16.778948,2026-06-21T06:39:19.925151
PERMIT-000077,77,hot_work,expired,unit-1-zone-2,unit-1,2026-06-09T07:52:33.166002,2026-06-09T11:02:44.264684
PERMIT-000078,78,hot_work,active,unit-2-zone-2,unit-2,2026-06-09T09:05:09.513451,2026-06-09T12:47:09.060588
PERMIT-000079,79,confined_space,active,unit-4-zone-2,unit-4,2026-06-09T09:51:29.081790,2026-06-09T14:02:11.389009
PERMIT-000080,80,electrical,active,unit-5-zone-3,unit-5,2026-06-21T01:33:03.492083,2026-06-21T07:59:31.737031
PERMIT-000081,81,hot_work,expired,unit-3-zone-1,unit-3,2026-06-11T23:59:50.369644,2026-06-12T03:06:48.209587
PERMIT-000082,82,electrical,expired,unit-2-zone-3,unit-2,2026-06-09T07:36:18.258262,2026-06-09T10:54:24.306247
PERMIT-000083,83,confined_space,active,unit-4-zone-3,unit-4,2026-06-09T10:40:08.800867,2026-06-09T14:42:22.734496
PERMIT-000084,84,general,active,unit-1-zone-1,unit-1,2026-06-09T08:01:56.959253,2026-06-09T11:37:20.455272
PERMIT-000085,85,hot_work,expired,unit-5-zone-3,unit-5,2026-06-21T00:37:03.133069,2026-06-21T03:17:41.926023
PERMIT-000086,86,confined_space,active,unit-4-zone-1,unit-4,2026-06-09T10:35:23.954458,2026-06-09T17:28:03.700385
PERMIT-000087,87,confined_space,active,unit-2-zone-3,unit-2,2026-06-09T08:43:46.861697,2026-06-09T13:55:06.799545
PERMIT-000088,88,hot_work,active,unit-2-zone-1,unit-2,2026-06-09T10:13:34.772949,2026-06-09T17:21:50.711673
PERMIT-000089,89,hot_work,active,unit-5-zone-2,unit-5,2026-06-21T01:40:39.391493,2026-06-21T05:56:56.404350
PERMIT-000090,90,general,active,unit-5-zone-3,unit-5,2026-06-21T02:53:40.951207,2026-06-21T10:17:24.349272
PERMIT-000091,91,confined_space,active,unit-5-zone-1,unit-5,2026-06-21T04:47:08.398790,2026-06-21T10:31:47.672306
PERMIT-000092,92,confined_space,active,unit-4-zone-3,unit-4,2026-06-09T10:55:53.006585,2026-06-09T18:23:25.766840
PERMIT-000093,93,electrical,active,unit-4-zone-2,unit-4,2026-06-09T10:29:51.648038,2026-06-09T15:26:39.822829
PERMIT-000094,94,confined_space,active,unit-1-zone-2,unit-1,2026-06-09T09:18:53.951496,2026-06-09T16:43:38.781356
PERMIT-000095,95,general,active,unit-2-zone-1,unit-2,2026-06-09T08:56:51.406206,2026-06-09T12:40:38.111226
PERMIT-000096,96,confined_space,active,unit-2-zone-2,unit-2,2026-06-09T09:24:36.886464,2026-06-09T16:40:51.238344
PERMIT-000097,97,confined_space,expired,unit-3-zone-1,unit-3,2026-06-11T23:44:14.344416,2026-06-12T02:46:42.580332
PERMIT-000098,98,electrical,active,unit-5-zone-1,unit-5,2026-06-21T03:29:13.206957,2026-06-21T06:42:46.031836
PERMIT-000099,99,electrical,active,unit-4-zone-2,unit-4,2026-06-09T10:53:56.972184,2026-06-09T18:20:37.135696
PERMIT-000100,100,electrical,active,unit-2-zone-2,unit-2,2026-06-09T09:27:00.618685,2026-06-09T16:44:35.111268
PERMIT-000101,101,confined_space,active,unit-1-zone-1,unit-1,2026-06-09T10:25:29.379136,2026-06-09T16:17:44.560130
PERMIT-000102,102,hot_work,active,unit-5-zone-1,unit-5,2026-06-21T02:10:10.014600,2026-06-21T06:19:48.900468
PERMIT-000103,103,electrical,expired,unit-1-zone-2,unit-1,2026-06-09T08:40:25.875859,2026-06-09T11:02:26.830185
PERMIT-000104,104,general,active,unit-1-zone-1,unit-1,2026-06-09T10:59:32.827329,2026-06-09T13:42:28.181739
PERMIT-000105,105,general,expired,unit-5-zone-3,unit-5,2026-06-21T04:06:34.948909,2026-06-21T05:25:04.955386
PERMIT-000106,106,confined_space,active,unit-4-zone-2,unit-4,2026-06-09T09:48:26.378418,2026-06-09T16:56:49.632596
PERMIT-000107,107,electrical,active,unit-1-zone-2,unit-1,2026-06-09T10:30:10.901743,2026-06-09T15:54:57.759287
PERMIT-000108,108,electrical,active,unit-2-zone-3,unit-2,2026-06-09T08:25:13.863352,2026-06-09T15:48:23.855502
PERMIT-000109,109,general,active,unit-2-zone-1,unit-2,2026-06-09T12:03:42.922663,2026-06-09T19:48:32.712427
PERMIT-000110,110,general,active,unit-4-zone-3,unit-4,2026-06-09T08:50:20.597463,2026-06-09T14:11:07.028066
PERMIT-000111,111,confined_space,active,unit-3-zone-3,unit-3,2026-06-12T02:49:35.298346,2026-06-12T09:16:02.543466
PERMIT-000112,112,hot_work,expired,unit-5-zone-1,unit-5,2026-06-21T01:45:36.510324,2026-06-21T03:54:51.869488
PERMIT-000113,113,electrical,active,unit-2-zone-1,unit-2,2026-06-09T10:24:38.763886,2026-06-09T13:15:09.547085
PERMIT-000114,114,general,active,unit-4-zone-3,unit-4,2026-06-09T10:38:19.614449,2026-06-09T14:26:16.591895
PERMIT-000115,115,confined_space,active,unit-4-zone-2,unit-4,2026-06-09T08:37:22.399076,2026-06-09T15:04:46.586198
PERMIT-000116,116,electrical,expired,unit-5-zone-1,unit-5,2026-06-21T03:46:37.511027,2026-06-21T03:57:36.217469
PERMIT-000117,117,confined_space,active,unit-2-zone-1,unit-2,2026-06-09T08:49:51.758107,2026-06-09T12:40:56.189986
PERMIT-000118,118,confined_space,expired,unit-2-zone-1,unit-2,2026-06-09T09:46:39.651802,2026-06-09T11:28:45.621250
PERMIT-000119,119,general,active,unit-3-zone-2,unit-3,2026-06-12T00:20:59.191127,2026-06-12T06:08:28.325127
PERMIT-000120,120,general,active,unit-4-zone-3,unit-4,2026-06-09T12:32:13.696146,2026-06-09T17:03:41.212775
PERMIT-000121,121,general,active,unit-4-zone-2,unit-4,2026-06-09T09:46:58.820311,2026-06-09T14:07:06.760079
PERMIT-000122,122,hot_work,active,unit-5-zone-3,unit-5,2026-06-21T03:10:56.886677,2026-06-21T07:26:53.476160
PERMIT-000123,123,hot_work,active,unit-5-zone-1,unit-5,2026-06-21T02:47:27.725597,2026-06-21T08:33:03.485679
PERMIT-000124,124,general,expired,unit-2-zone-1,unit-2,2026-06-09T11:57:14.666463,2026-06-09T12:17:34.530381
PERMIT-000125,125,hot_work,active,unit-4-zone-2,unit-4,2026-06-09T12:30:49.308831,2026-06-09T19:23:09.604462
PERMIT-000126,126,electrical,active,unit-4-zone-1,unit-4,2026-06-09T09:53:39.135865,2026-06-09T16:40:08.443887
PERMIT-000127,127,general,active,unit-5-zone-3,unit-5,2026-06-21T04:20:30.790226,2026-06-21T09:17:18.215547
PERMIT-000128,128,confined_space,active,unit-2-zone-2,unit-2,2026-06-09T09:16:01.611857,2026-06-09T15:02:24.252976
PERMIT-000129,129,confined_space,active,unit-5-zone-1,unit-5,2026-06-21T05:02:27.649629,2026-06-21T07:05:41.060678
PERMIT-000130,130,general,active,unit-1-zone-2,unit-1,2026-06-09T12:16:48.059869,2026-06-09T18:54:59.314379
PERMIT-000131,131,electrical,active,unit-5-zone-3,unit-5,2026-06-21T04:59:58.659633,2026-06-21T09:05:58.579132
PERMIT-000132,132,hot_work,expired,unit-2-zone-1,unit-2,2026-06-09T13:13:15.005149,2026-06-09T12:54:48.556508
PERMIT-000133,133,general,active,unit-1-zone-2,unit-1,2026-06-09T12:44:52.396047,2026-06-09T19:06:38.775549
PERMIT-000134,134,general,active,unit-3-zone-1,unit-3,2026-06-12T03:26:09.828216,2026-06-12T07:55:40.629696
PERMIT-000135,135,hot_work,active,unit-5-zone-3,unit-5,2026-06-21T06:54:38.830188,2026-06-21T10:26:12.129342
PERMIT-000136,136,hot_work,active,unit-3-zone-1,unit-3,2026-06-12T04:09:21.457662,2026-06-12T11:37:05.330402
PERMIT-000137,137,general,expired,unit-2-zone-3,unit-2,2026-06-09T11:30:03.834628,2026-06-09T11:47:51.366055
PERMIT-000138,138,electrical,active,unit-5-zone-2,unit-5,2026-06-21T04:55:10.234545,2026-06-21T11:39:17.009754
PERMIT-000139,139,general,active,unit-5-zone-1,unit-5,2026-06-21T03:24:06.299039,2026-06-21T08:28:13.347864
PERMIT-000140,140,confined_space,active,unit-3-zone-2,unit-3,2026-06-12T03:37:33.950420,2026-06-12T06:25:41.098407
PERMIT-000141,141,hot_work,expired,unit-5-zone-1,unit-5,2026-06-21T03:42:55.310982,2026-06-21T06:04:32.993994
PERMIT-000142,142,general,active,unit-5-zone-3,unit-5,2026-06-21T06:01:10.563312,2026-06-21T08:29:57.447892
PERMIT-000143,143,confined_space,active,unit-5-zone-3,unit-5,2026-06-21T04:45:38.084499,2026-06-21T10:27:47.428663
PERMIT-000144,144,general,active,unit-1-zone-2,unit-1,2026-06-09T11:44:31.304907,2026-06-09T15:58:24.899158
PERMIT-000145,145,general,expired,unit-3-zone-2,unit-3,2026-06-12T01:17:53.659740,2026-06-12T03:10:13.564113
PERMIT-000146,146,confined_space,expired,unit-3-zone-1,unit-3,2026-06-12T02:23:42.818572,2026-06-12T03:21:27.876345
PERMIT-000147,147,electrical,active,unit-5-zone-1,unit-5,2026-06-21T06:06:24.273303,2026-06-21T13:21:26.354847
PERMIT-000148,148,general,active,unit-3-zone-1,unit-3,2026-06-12T04:22:39.839973,2026-06-12T11:57:58.839929
PERMIT-000149,149,electrical,active,unit-4-zone-3,unit-4,2026-06-09T10:40:02.871869,2026-06-09T14:22:58.691774
PERMIT-000150,150,hot_work,active,unit-4-zone-2,unit-4,2026-06-09T12:18:37.432915,2026-06-09T15:55:42.660162
PERMIT-000151,151,hot_work,active,unit-5-zone-1,unit-5,2026-06-21T07:03:16.167243,2026-06-21T09:08:15.121589
PERMIT-000152,152,hot_work,active,unit-1-zone-1,unit-1,2026-06-09T11:11:14.569517,2026-06-09T18:14:25.841193
PERMIT-000153,153,confined_space,active,unit-1-zone-2,unit-1,2026-06-09T12:34:42.492068,2026-06-09T18:48:42.514148
PERMIT-000154,154,confined_space,active,unit-2-zone-3,unit-2,2026-06-09T11:27:25.496382,2026-06-09T15:59:45.277516
PERMIT-000155,155,confined_space,active,unit-4-zone-3,unit-4,2026-06-09T10:42:59.441018,2026-06-09T14:50:25.081234
PERMIT-000156,156,hot_work,active,unit-2-zone-2,unit-2,2026-06-09T12:17:02.160136,2026-06-09T17:23:48.651225
PERMIT-000157,157,hot_work,active,unit-4-zone-1,unit-4,2026-06-09T10:03:01.302558,2026-06-09T13:58:57.742595
PERMIT-000158,158,general,active,unit-1-zone-2,unit-1,2026-06-09T11:01:39.212635,2026-06-09T18:13:49.444350
PERMIT-000159,159,confined_space,expired,unit-5-zone-1,unit-5,2026-06-21T07:09:27.605370,2026-06-21T06:55:32.312977
PERMIT-000160,160,electrical,active,unit-1-zone-2,unit-1,2026-06-09T10:48:00.022937,2026-06-09T14:04:48.168676
PERMIT-000161,161,hot_work,active,unit-2-zone-3,unit-2,2026-06-09T10:54:33.730258,2026-06-09T15:50:52.928028
PERMIT-000162,162,hot_work,active,unit-5-zone-2,unit-5,2026-06-21T05:21:28.181378,2026-06-21T10:22:51.190571
PERMIT-000163,163,general,expired,unit-2-zone-3,unit-2,2026-06-09T11:43:04.761743,2026-06-09T13:53:25.000638
PERMIT-000164,164,general,active,unit-4-zone-3,unit-4,2026-06-09T12:39:57.203600,2026-06-09T17:31:58.989268
PERMIT-000165,165,electrical,active,unit-5-zone-1,unit-5,2026-06-21T06:42:25.661505,2026-06-21T13:37:54.825385
PERMIT-000166,166,general,active,unit-4-zone-1,unit-4,2026-06-09T11:31:29.544292,2026-06-09T18:36:59.685356
PERMIT-000167,167,electrical,active,unit-5-zone-3,unit-5,2026-06-21T07:54:53.309737,2026-06-21T12:34:34.596643
PERMIT-000168,168,hot_work,active,unit-5-zone-1,unit-5,2026-06-21T08:51:14.042718,2026-06-21T12:43:30.714884
PERMIT-000169,169,general,expired,unit-2-zone-3,unit-2,2026-06-09T11:45:13.863379,2026-06-09T13:59:45.665107
PERMIT-000170,170,hot_work,active,unit-3-zone-2,unit-3,2026-06-12T02:51:12.910882,2026-06-12T08:29:06.185419
PERMIT-000171,171,confined_space,active,unit-2-zone-2,unit-2,2026-06-09T11:30:15.851300,2026-06-09T16:43:02.335994
PERMIT-000172,172,electrical,active,unit-2-zone-1,unit-2,2026-06-09T13:19:27.432849,2026-06-09T19:57:20.057005
PERMIT-000173,173,hot_work,active,unit-3-zone-3,unit-3,2026-06-12T02:05:51.149874,2026-06-12T05:28:36.675557
PERMIT-000174,174,confined_space,active,unit-3-zone-2,unit-3,2026-06-12T05:18:38.666688,2026-06-12T08:43:44.516176
PERMIT-000175,175,general,active,unit-2-zone-1,unit-2,2026-06-09T10:51:52.025537,2026-06-09T15:27:58.879859
PERMIT-000176,176,general,active,unit-4-zone-1,unit-4,2026-06-09T14:09:18.443029,2026-06-09T16:57:19.189026
PERMIT-000177,177,electrical,active,unit-3-zone-1,unit-3,2026-06-12T04:16:40.252797,2026-06-12T09:35:13.487979
PERMIT-000178,178,electrical,active,unit-2-zone-2,unit-2,2026-06-09T13:17:03.108660,2026-06-09T19:04:49.968341
PERMIT-000179,179,electrical,active,unit-2-zone-3,unit-2,2026-06-09T13:33:28.280118,2026-06-09T19:51:28.725303
PERMIT-000180,180,hot_work,active,unit-4-zone-3,unit-4,2026-06-09T11:00:18.279348,2026-06-09T15:31:11.785214
PERMIT-000181,181,confined_space,active,unit-2-zone-2,unit-2,2026-06-09T13:49:40.383201,2026-06-09T19:53:13.069416
PERMIT-000182,182,electrical,active,unit-2-zone-2,unit-2,2026-06-09T11:47:40.737767,2026-06-09T16:09:05.127075
PERMIT-000183,183,confined_space,active,unit-4-zone-3,unit-4,2026-06-09T10:57:47.179836,2026-06-09T14:55:22.892737
PERMIT-000184,184,confined_space,active,unit-3-zone-3,unit-3,2026-06-12T05:32:21.202543,2026-06-12T08:34:03.726027
PERMIT-000185,185,electrical,active,unit-5-zone-2,unit-5,2026-06-21T08:51:22.614813,2026-06-21T13:51:31.442975
PERMIT-000186,186,general,expired,unit-1-zone-1,unit-1,2026-06-09T13:14:19.201860,2026-06-09T13:28:07.848066
PERMIT-000187,187,electrical,active,unit-1-zone-3,unit-1,2026-06-09T12:40:48.901425,2026-06-09T18:36:45.547115
PERMIT-000188,188,hot_work,active,unit-1-zone-2,unit-1,2026-06-09T10:25:50.223762,2026-06-09T15:35:20.398263
PERMIT-000189,189,hot_work,expired,unit-4-zone-2,unit-4,2026-06-09T11:15:03.575210,2026-06-09T14:02:05.739722
PERMIT-000190,190,hot_work,active,unit-2-zone-2,unit-2,2026-06-09T14:28:49.550759,2026-06-09T19:58:29.991602
PERMIT-000191,191,hot_work,active,unit-5-zone-1,unit-5,2026-06-21T09:00:25.809122,2026-06-21T13:06:05.070419
PERMIT-000192,192,general,active,unit-2-zone-1,unit-2,2026-06-09T12:36:43.479290,2026-06-09T18:24:40.653020
PERMIT-000193,193,general,active,unit-5-zone-2,unit-5,2026-06-21T08:07:50.792794,2026-06-21T12:22:18.414976
PERMIT-000194,194,general,active,unit-4-zone-1,unit-4,2026-06-09T13:34:40.770242,2026-06-09T20:23:04.598860
PERMIT-000195,195,hot_work,active,unit-2-zone-1,unit-2,2026-06-09T13:21:35.342079,2026-06-09T18:11:00.939207
PERMIT-000196,196,electrical,active,unit-1-zone-3,unit-1,2026-06-09T12:26:38.984785,2026-06-09T18:49:24.740984
PERMIT-000197,197,hot_work,expired,unit-4-zone-3,unit-4,2026-06-09T12:43:38.222826,2026-06-09T14:57:20.477521
PERMIT-000198,198,general,active,unit-4-zone-3,unit-4,2026-06-09T13:28:03.866405,2026-06-09T20:50:05.270262
PERMIT-000199,199,electrical,active,unit-4-zone-2,unit-4,2026-06-09T11:44:19.910289,2026-06-09T19:17:53.092320
PERMIT-000200,200,confined_space,active,unit-4-zone-2,unit-4,2026-06-09T12:29:46.890977,2026-06-09T16:25:58.157201
PERMIT-000201,201,confined_space,active,unit-4-zone-2,unit-4,2026-06-09T12:10:21.302061,2026-06-09T17:05:15.461334
PERMIT-000202,202,confined_space,active,unit-1-zone-2,unit-1,2026-06-09T10:59:04.559946,2026-06-09T16:20:43.385782
PERMIT-000203,203,hot_work,active,unit-4-zone-3,unit-4,2026-06-09T12:55:31.865326,2026-06-09T19:17:09.600394
PERMIT-000204,204,electrical,active,unit-2-zone-2,unit-2,2026-06-09T13:10:49.588634,2026-06-09T19:40:47.688367
PERMIT-000205,205,general,active,unit-3-zone-2,unit-3,2026-06-12T04:42:44.668624,2026-06-12T07:44:06.677568
PERMIT-000206,206,general,expired,unit-1-zone-1,unit-1,2026-06-09T10:49:02.830950,2026-06-09T13:05:48.924654
PERMIT-000207,207,general,active,unit-1-zone-1,unit-1,2026-06-09T11:26:20.366121,2026-06-09T15:57:17.433947
PERMIT-000208,208,hot_work,active,unit-5-zone-2,unit-5,2026-06-21T06:24:41.782189,2026-06-21T13:29:08.945652
PERMIT-000209,209,hot_work,active,unit-2-zone-2,unit-2,2026-06-09T16:03:04.592637,2026-06-09T22:00:33.499859
PERMIT-000210,210,hot_work,active,unit-3-zone-3,unit-3,2026-06-12T02:58:42.124232,2026-06-12T09:36:55.863042
PERMIT-000211,211,general,active,unit-4-zone-1,unit-4,2026-06-09T12:40:54.200721,2026-06-09T19:47:35.628085
PERMIT-000212,212,general,active,unit-1-zone-2,unit-1,2026-06-09T12:34:03.008431,2026-06-09T18:22:28.989838
PERMIT-000213,213,general,active,unit-4-zone-2,unit-4,2026-06-09T15:33:22.198384,2026-06-09T19:11:55.220838
PERMIT-000214,214,hot_work,active,unit-4-zone-3,unit-4,2026-06-09T13:40:51.046879,2026-06-09T20:45:57.162028
PERMIT-000215,215,general,active,unit-5-zone-2,unit-5,2026-06-21T08:02:17.849303,2026-06-21T15:18:09.046637
PERMIT-000216,216,hot_work,active,unit-2-zone-3,unit-2,2026-06-09T15:35:14.474384,2026-06-09T21:19:56.613189
